frame_id,steering_angle
1479425441182877835,-0.0237035527825
1479425441232704425,-0.0224844701588
1479425441282730750,-0.025288425386
1479425441332806714,-0.0329297184944
1479425441382790272,-0.0256654806435
1479425441432724303,-0.0229947380722
1479425441482746958,-0.0269027296454
1479425441532802506,-0.0378946103156
1479425441582725165,-0.0339770019054
1479425441632720892,-0.0344542562962
1479425441682732948,-0.0319882631302
1479425441732800574,-0.0459013134241
1479425441782737331,-0.0541769340634
1479425441832816004,-0.0701514482498
1479425441882830087,-0.0724805295467
1479425441932849879,-0.0704152882099
1479425441982783223,-0.0427432209253
1479425442032874172,-0.0389807149768
1479425442082758552,-0.0418915115297
1479425442132852121,-0.0284361317754
1479425442182761838,-0.0307659152895
1479425442232828524,-0.0302827320993
1479425442282862682,-0.0372311510146
1479425442332893792,-0.0219830740243
1479425442382858459,-0.0145235713571
1479425442432797491,-0.00883664470166
1479425442482899263,-0.00609412835911
1479425442532771570,3.9440139517e-05
1479425442582809345,0.0062551596202
1479425442632821093,0.00878973212093
1479425442682747552,0.00115405337419
1479425442732806572,0.00192245177459
1479425442782862182,0.00301025225781
1479425442832833025,0.0034943674691
1479425442882822631,0.00812708213925
1479425442932809867,0.0101331621408
1479425442982805056,0.00887362658978
1479425443032823520,0.00427272589877
1479425443082812203,-0.0017659337027
1479425443132827444,-0.00392957543954
1479425443182854411,0.000628583424259
1479425443232861030,0.00382846873254
1479425443282879357,0.00751553243026
1479425443332896491,0.00732151791453
1479425443382879593,0.0076190684922
1479425443432903742,0.00637260684744
1479425443483016593,0.00681830430403
1479425443533017775,0.00764298206195
1479425443582977575,0.00686214771122
1479425443632945821,0.00591385783628
1479425443682982187,0.0133055020124
1479425443732869219,0.0158301591873
1479425443782898808,0.0172320064157
1479425443833012205,0.016250828281
1479425443882914607,0.0157302170992
1479425443933132143,0.0152113959193
1479425443983182782,0.013097660616
1479425444033115695,0.00532892532647
1479425444083198332,-0.00319490442052
1479425444133127546,-0.00309431809001
1479425444183146275,0.00112499599345
1479425444233201168,-0.00218457635492
1479425444283138737,-0.00360848940909
1479425444333229360,-0.00839425250888
1479425444383185181,-0.0199273377657
1479425444434593057,-0.0264539122581
1479425444483190972,-0.045113928616
1479425444533172421,-0.0617772117257
1479425444583259948,-0.0785729885101
1479425444633286162,-0.0842326804996
1479425444683294213,-0.0751316770911
1479425444733253036,-0.0786184594035
1479425444783291032,-0.0868305712938
1479425444833288592,-0.0919779986143
1479425444883283220,-0.086807757616
1479425444933328937,-0.0810740366578
1479425444983260437,-0.0655640438199
1479425445033271766,-0.0651787370443
1479425445083281310,-0.0775185376406
1479425445133336475,-0.0778238028288
1479425445183328558,-0.0779439359903
1479425445233404698,-0.0899263694882
1479425445283448582,-0.0891034603119
1479425445333367499,-0.0977017208934
1479425445383326348,-0.101720288396
1479425445433499090,-0.098039701581
1479425445483382125,-0.0910047665238
1479425445533489877,-0.0914274081588
1479425445583437918,-0.0972130298615
1479425445633423016,-0.0941108763218
1479425445683329266,-0.0896668434143
1479425445733403939,-0.0899136215448
1479425445783307622,-0.0773483365774
1479425445833353168,-0.0609363131225
1479425445883484127,-0.0496800094843
1479425445933390665,-0.0484628751874
1479425445983503068,-0.0462119057775
1479425446033440044,-0.0460900999606
1479425446083426096,-0.0523896068335
1479425446133410346,-0.0624546408653
1479425446183468695,-0.0534480363131
1479425446233463132,-0.0609338544309
1479425446283447100,-0.0668021887541
1479425446333431175,-0.0614785179496
1479425446383424337,-0.0564531162381
1479425446433457370,-0.050613746047
1479425446483371405,-0.0423845499754
1479425446533500137,-0.0329745523632
1479425446583477115,-0.0273745488375
1479425446633522506,-0.0304111875594
1479425446683589238,-0.0384206399322
1479425446733573761,-0.0363895259798
1479425446783611898,-0.0357834398746
1479425446833546046,-0.0298230759799
1479425446883533208,-0.0373543426394
1479425446933547800,-0.0296122580767
1479425446983608400,-0.0146025167778
1479425447033578750,-0.0182456579059
1479425447083596868,-0.0184046067297
1479425447133467484,-0.0148414578289
1479425447183549871,-0.0166206099093
1479425447233486454,-0.0214012078941
1479425447283725051,-0.0290588885546
1479425447333693598,-0.028451981023
1479425447383620607,-0.0240550730377
1479425447433621760,-0.0158966481686
1479425447483674337,-0.00785359274596
1479425447533663020,-0.0106920283288
1479425447583646955,-0.00712337531149
1479425447633645468,-0.00447321636602
1479425447683675176,-0.00560234533623
1479425447733726775,-0.0156922154129
1479425447783780269,-0.0174029935151
1479425447833680291,-0.0155825456604
1479425447883694922,-0.0267273765057
1479425447933701813,-0.0225435234606
1479425447983829975,-0.0212953016162
1479425448033742629,-0.027645399794
1479425448083725825,-0.0393897630274
1479425448133784412,-0.0464791059494
1479425448183782273,-0.0497096888721
1479425448233780330,-0.050940990448
1479425448283749801,-0.0531662404537
1479425448333826064,-0.0368961319327
1479425448383792183,-0.0388842485845
1479425448433778649,-0.0393927656114
1479425448483793143,-0.0268443338573
1479425448533885890,-0.0146806649864
1479425448583862227,-0.00541630387306
1479425448633847925,-0.00506060803309
1479425448683822662,-0.0043442491442
1479425448733882312,-0.0031024646014
1479425448783845387,-0.00500859320164
1479425448833950015,-0.0147011913359
1479425448883924440,-0.0176134370267
1479425448933879663,-0.0165521986783
1479425448983876216,-0.0134726529941
1479425449034016614,-0.0148421544582
1479425449083989539,-0.0134627372026
1479425449134003281,-0.0157555099577
1479425449183978806,-0.0160406269133
1479425449233996144,-0.00972468219697
1479425449283962329,-0.012848326005
1479425449333971165,-0.0155480671674
1479425449383983954,-0.0209769457579
1479425449434025534,-0.0265397801995
1479425449483987552,-0.0344008468091
1479425449534040093,-0.0370405614376
1479425449584053959,-0.0335364714265
1479425449634016171,-0.0308912359178
1479425449684123260,-0.025852849707
1479425449734027001,-0.0189840588719
1479425449784082050,-0.0221233572811
1479425449834134569,-0.0248738452792
1479425449884087282,-0.0291570313275
1479425449934088214,-0.0305623319
1479425449984134982,-0.0264742858708
1479425450034140940,-0.0250878334045
1479425450084078501,-0.0194471850991
1479425450134193600,-0.020812748
1479425450184172865,-0.0177400317043
1479425450234144378,-0.0176074262708
1479425450284149775,-0.0212472490966
1479425450334262000,-0.0115538118407
1479425450384178750,-0.0110247218981
1479425450434161961,-0.0118734231219
1479425450484147791,-0.00632282765582
1479425450534184818,-0.00430563138798
1479425450584162450,0.00152904109564
1479425450634258305,0.00058637780603
1479425450684227110,-0.00186233583372
1479425450734209984,-0.00522709963843
1479425450784248908,-0.00144868891221
1479425450834260421,-0.00177194934804
1479425450884230583,2.53062717093e-05
1479425450934345661,-0.00277098524384
1479425450984309065,-0.00154366611969
1479425451034286630,-0.00222433032468
1479425451084317905,-0.000877465470694
1479425451134304083,-0.00152036116924
1479425451184289528,-0.000440422067186
1479425451234414501,-0.000420512718847
1479425451284350407,-0.00012824460282
1479425451334284259,0.00654476741329
1479425451384384161,0.0128712523729
1479425451434326964,0.0247211046517
1479425451484368953,0.0213053561747
1479425451534399242,0.0238522514701
1479425451584434387,0.02244541049
1479425451634350263,0.0124159594998
1479425451684382956,0.0138131678104
1479425451734356975,0.0174234807491
1479425451784399230,0.019918449223
1479425451834383177,0.0231216661632
1479425451884425416,0.0383983775973
1479425451934441674,0.037876766175
1479425451984403693,0.0378762036562
1479425452034457721,0.0357210971415
1479425452084417312,0.0369990170002
1479425452134520843,0.0418149009347
1479425452184466002,0.0417354144156
1479425452234335175,0.0551854632795
1479425452284375611,0.0329246670008
1479425452334564662,-0.00029805637314
1479425452384627152,-0.022283539176
1479425452434545378,-0.00607152609155
1479425452484609213,-0.00162029790226
1479425452534553900,-0.00898757763207
1479425452584569515,-0.0186422206461
1479425452634553611,-0.0143439304084
1479425452684562980,-0.00768135627732
1479425452734636836,0.044993057847
